['0.896', '4.77919', '-99.68895', '195.0182', '-1.987118', '84.5674', '2.446087', '1.339', '10010', '30']
['0.912', '4.779224', '-99.689', '195.0182', '-1.987152', '84.5674', '2.446197', '1.339', '10010', '30']
['0.928', '4.77919', '-99.689', '195.0182', '-1.987118', '84.56726', '2.446202', '1.339', '10010', '30']
['0.944', '4.779259', '-99.68895', '195.0182', '-1.987118', '84.56726', '2.446202', '1.339', '10010', '30']
['0.96', '4.779259', '-99.68895', '195.0182', '-1.987152', '84.56726', '2.446202', '1.339', '10010', '30']
['0.976', '4.779293', '-99.68889', '195.018', '-1.987152', '84.56726', '2.446202', '1.339', '10010', '30']
['0.992', '4.779327', '-99.68895', '195.018', '-1.987118', '84.56712', '2.446207', '1.339', '10010', '30']
['1.008', '4.779293', '-99.68895', '195.018', '-1.987049', '84.56712', '2.446317', '1.339', '10010', '30']
['1.024', '4.779362', '-99.68895', '195.018', '-1.987015', '84.56712', '2.446317', '1.339', '10010', '30']
['1.04', '4.779327', '-99.68895', '195.018', '-1.987015', '84.56712', '2.446427', '1.339', '10010', '30']
['1.056', '4.779327', '-99.68895', '195.0179', '-1.987049', '84.56699', '2.446377', '1.339', '10010', '30']
['1.072', '4.779396', '-99.68895', '195.0179', '-1.987015', '84.56699', '2.446432', '1.339', '10010', '30']
['1.088', '4.779327', '-99.68895', '195.0179', '-1.987049', '84.56685', '2.446492', '1.339', '10010', '30']
['1.104', '4.779327', '-99.68895', '195.0179', '-1.987049', '84.56685', '2.446547', '1.339', '10010', '30']
['1.12', '4.779362', '-99.68895', '195.0179', '-1.987049', '84.56685', '2.446547', '1.339', '10010', '30']
['1.136', '4.779327', '-99.68895', '195.0179', '-1.987049', '84.56685', '2.446547', '1.339', '10010', '30']
['1.152', '4.779362', '-99.68895', '195.0178', '-1.987049', '84.56685', '2.446547', '1.339', '10010', '30']
['1.168', '4.779396', '-99.68895', '195.0178', '-1.987049', '84.56685', '2.446547', '1.339', '10010', '30']
['1.184', '4.779362', '-99.68895', '195.0178', '-1.987049', '84.56685', '2.446547', '1.339', '10010', '30']
['1.2', '4.779345', '-99.68895', '195.0178', '-1.987015', '84.56671', '2.446552', '1.339', '10010', '30']
['1.216', '4.779362', '-99.68895', '195.0178', '-1.987015', '84.56671', '2.446607', '1.339', '10010', '30']
['1.232', '4.779362', '-99.68895', '195.0178', '-1.987015', '84.56671', '2.446607', '1.339', '10010', '30']
['1.248', '4.77943', '-99.68895', '195.0178', '-1.987049', '84.56664', '2.446665', '1.339', '10010', '30']
['1.264', '4.779362', '-99.68895', '195.0178', '-1.987015', '84.56664', '2.446719', '1.339', '10010', '30']
['1.28', '4.779396', '-99.68895', '195.0178', '-1.987049', '84.56657', '2.446722', '1.339', '10010', '30']
['1.296', '4.779362', '-99.68895', '195.0178', '-1.987015', '84.56657', '2.446667', '1.339', '10010', '30']
['1.312', '4.779327', '-99.68889', '195.0178', '-1.987049', '84.56657', '2.446722', '1.339', '10010', '30']
['1.328', '4.779362', '-99.68895', '195.0178', '-1.987015', '84.56657', '2.446667', '1.339', '10010', '30']
['1.344', '4.779362', '-99.68895', '195.0178', '-1.987049', '84.56657', '2.446667', '1.631', '10010', '40']
['1.36', '4.779636', '-99.68549', '195.0022', '-1.987049', '84.57907', '2.446638', '1.631', '10010', '40']
['1.376', '4.784288', '-99.64248', '194.7871', '-1.986877', '84.76172', '2.444073', '1.631', '10010', '40']
['1.392', '4.802296', '-99.5013', '194.0762', '-1.986294', '85.34647', '2.43412', '1.631', '10010', '40']
['1.408', '4.836233', '-99.22961', '192.7551', '-1.985195', '86.39593', '2.425692', '1.631', '10010', '40']
['1.424', '4.885706', '-98.7962', '190.7937', '-1.983925', '87.92317', '2.425385', '1.631', '10010', '40']
['1.44', '4.950645', '-98.15559', '188.1418', '-1.983067', '89.9336', '2.42503', '1.631', '10010', '40']
['1.456', '5.030228', '-97.25806', '184.7433', '-1.983307', '92.41617', '2.422241', '1.631', '10010', '40']
['1.472', '5.117964', '-96.11663', '180.7908', '-1.985882', '95.19344', '2.417465', '1.631', '10010', '40']
['1.488', '5.198765', '-94.93357', '176.988', '-1.991718', '97.78216', '2.407949', '1.631', '10010', '40']
['1.504', '5.264271', '-93.84993', '173.7232', '-1.999683', '99.95299', '2.396196', '1.631', '10010', '40']
['1.52', '5.313984', '-92.94126', '171.1177', '-2.011459', '101.6559', '2.385839', '1.631', '10010', '40']
['1.536', '5.349123', '-92.26988', '169.2426', '-2.02169', '102.865', '2.3767', '1.631', '10010', '40']
['1.552', '5.368864', '-91.87382', '168.1657', '-2.029037', '103.5604', '2.370838', '1.631', '10010', '40']
['1.568', '5.37513', '-91.74429', '167.8282', '-2.033226', '103.8001', '2.368603', '1.631', '10010', '40']
['1.584', '5.376091', '-91.72946', '167.796', '-2.035767', '103.8473', '2.368262', '1.631', '10010', '40']
['1.6', '5.376503', '-91.72963', '167.7988', '-2.037312', '103.8576', '2.368371', '1.631', '10010', '40']
['1.616', '5.376572', '-91.72957', '167.7993', '-2.038376', '103.8593', '2.368474', '1.631', '10010', '40']
['1.632', '5.376537', '-91.72979', '167.7983', '-2.038994', '103.8589', '2.368377', '2.4', '10020', '10']
['1.648', '5.376606', '-91.7299', '167.7972', '-2.039165', '103.8578', '2.368418', '2.4', '10020', '10']
['1.664', '5.390923', '-91.73034', '167.7971', '-2.039268', '103.856', '2.368487', '2.4', '10020', '10']
['1.68', '5.528938', '-91.73979', '167.8114', '-2.038136', '103.8484', '2.369485', '2.4', '10020', '10']
['1.696', '5.969421', '-91.77187', '167.8786', '-2.030823', '103.8116', '2.376193', '2.4', '10020', '10']
['1.712', '6.768145', '-91.83037', '168.0036', '-2.011219', '103.7408', '2.389724', '2.4', '10020', '10']
['1.728', '7.925482', '-91.91623', '168.1885', '-1.976543', '103.6387', '2.415471', '2.4', '10020', '10']
['1.744', '9.439741', '-92.02851', '168.4318', '-1.929508', '103.501', '2.452112', '2.4', '10020', '10']
['1.76', '11.31373', '-92.16738', '168.7301', '-1.870663', '103.329', '2.495586', '2.4', '10020', '10']
['1.776', '13.54565', '-92.33327', '169.0856', '-1.796574', '103.1304', '2.549228', '2.4', '10020', '10']
['1.792', '16.13495', '-92.52509', '169.4989', '-1.712528', '102.9067', '2.61134', '2.4', '10020', '10']
['1.808', '19.08466', '-92.74279', '169.968', '-1.617496', '102.6488', '2.683471', '2.4', '10020', '10']
['1.824', '22.39194', '-92.98756', '170.4963', '-1.509659', '102.3663', '2.766352', '2.4', '10020', '10']
['1.84', '26.05619', '-93.25849', '171.0779', '-1.398903', '102.046', '2.855873', '2.4', '10020', '10']
['1.856', '30.05169', '-93.55396', '171.7167', '-1.270329', '101.696', '2.952328', '2.4', '10020', '10']
['1.872', '34.19963', '-93.86092', '172.3765', '-1.141823', '101.3366', '3.053204', '2.4', '10020', '10']
['1.888', '38.22102', '-94.16008', '173.0162', '-1.017368', '100.9847', '3.146434', '2.4', '10020', '10']
['1.904', '41.92836', '-94.43529', '173.6064', '-0.9026985', '100.6651', '3.230215', '2.4', '10020', '10']
['1.92', '45.32736', '-94.69187', '174.1687', '-0.7972641', '100.3479', '3.304624', '2.4', '10020', '10']
['1.936', '48.60321', '-94.96329', '174.8204', '-0.7128754', '99.95698', '3.375368', '2.4', '10020', '10']
['1.952', '51.86365', '-95.26596', '175.6314', '-0.6286926', '99.44316', '3.44001', '2.4', '10020', '10']
['1.968', '55.12368', '-95.60363', '176.6086', '-0.5633583', '98.7984', '3.497477', '2.4', '10020', '10']
['1.984', '58.38341', '-95.9776', '177.7545', '-0.499054', '98.02455', '3.547205', '2.4', '10020', '10']
